CUSTOM_ID,SR_ID
ID-001010,AA00000029128
ID-001010,AA00000029127
ID-001010,AA00000029126
ID-001010,AA00000029125
ID-001010,AA00000029124
ID-001010,AA00000029123
ID-002719,AA00000029122
ID-002719,AA00000029121
ID-002719,AA00000029120
ID-002719,AA00000029119
ID-002719,AA00000029118
ID-002719,AA00000029117
ID-002719,AA00000029116
ID-002719,AA00000029115
ID-002719,AA00000029114
ID-006031,AA00000029113
ID-001599,AA00000029112
ID-001599,AA00000029111
ID-001599,AA00000029110
ID-001599,AA00000029109
ID-001599,AA00000029108
ID-001175,AA00000029107
ID-001175,AA00000029106
ID-001175,AA00000029105
ID-001175,AA00000029104
ID-002901,AA00000029103
ID-002901,AA00000029102
ID-002901,AA00000029101
ID-002130,AA00000029100
ID-002130,AA00000029099
ID-002130,AA00000029098
ID-002130,AA00000029097
ID-002130,AA00000029096
ID-002130,AA00000029095
ID-001129,AA00000029094
ID-001129,AA00000029093
ID-001129,AA00000029092
ID-001129,AA00000029091
ID-001129,AA00000029090
ID-001129,AA00000029089
ID-001129,AA00000029088
ID-001129,AA00000029087
ID-001129,AA00000029086
ID-001129,AA00000029085
ID-001129,AA00000029084
ID-001129,AA00000029083
ID-001129,AA00000029082
ID-001129,AA00000029081
ID-001129,AA00000029080
ID-001129,AA00000029079
ID-001129,AA00000029078
ID-001129,AA00000029077
ID-001129,AA00000029076
